RK,PLAYER,,,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,,3P/100,3P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sr,6-7,Jacob Ognacevic,Lipscomb,ASun,92.8,9.6,22.2,138.0,32.8,69.4,70.3,0.0,14.4,19.5,0.0,10.3,1.7,55.6,11-15,0.733,5.0,1-3,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sr,6-8,John Camden,Delaware,CAA,95.3,9.0,11.6,137.8,24.1,73.2,71.2,1.6,10.9,20.8,6.5,0.0,2.3,42.9,4-9,0.444,14.8,11-19,0.579,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sr,6-7,Cameron Huefner,Sam Houston St.,CUSA,100.0,9.0,5.0,142.3,23.9,64.7,67.1,6.7,10.0,0.0,0.0,0.0,1.4,29.4,8-11,0.727,8.3,2-6,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Sr,6-4,Zeke Mayo,Kansas,B12,79.5,8.9,18.4,141.3,30.6,73.8,77.2,2.9,10.7,19.5,13.0,1.0,0.7,42.9,13-18,0.722,15.9,12-24,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Sr,6-11,Daniel Batcho,Louisiana Tech,CUSA,62.8,8.3,19.7,158.2,27.6,72.7,73.6,17.1,15.5,20.9,0.0,13.7,0.0,36.4,8-11,0.727,0.0,0-0,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sr,6-11,Sam Sherry,Elon,CAA,59.6,8.2,16.2,146.3,24.9,57.7,64.2,14.2,25.7,19.9,3.4,3.2,1.7,73.1,9-19,0.474,5.9,4-7,0.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Fr,6-7,Lajae Jones,St. Bonaventure,A10,87.9,7.9,7.4,177.6,10.5,84.8,88.3,3.3,14.2,2.7,4.2,0.0,1.8,43.5,9-12,0.750,4.9,7-11,0.636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Sr,6-8,Eric Dixon,Villanova,BE,87.2,7.8,7.2,123.2,35.9,60.0,63.4,6.5,7.6,13.5,10.3,0.0,1.2,30.9,18-32,0.563,14.1,10-23,0.435,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Fr,6-1,Kolton Mitchell,Idaho,BSky,79.8,7.8,18.3,147.6,24.6,80.3,82.8,1.3,4.6,23.5,14.9,0.0,6.8,23.7,11-15,0.733,14.1,13-23,0.565,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Sr,6-5,Hunter Sallis,Wake Forest,ACC,95.4,7.8,14.2,129.8,29.0,62.3,65.3,5.5,11.1,23.3,12.4,2.1,2.6,20.8,24-40,0.600,6.7,6-13,0.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Jr,6-4,Bennett Stirtz,Drake,MVC,99.3,7.5,11.9,134.2,26.3,58.6,63.3,1.8,10.1,36.0,12.7,0.9,3.8,27.6,25-39,0.641,7.9,6-19,0.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Sr,6-5,Jamar Brown,UMKC,Sum,79.8,7.5,7.9,149.5,23.9,71.2,75.5,9.6,10.7,15.3,11.0,1.2,1.3,30.3,10-18,0.556,9.9,9-15,0.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Jr,6-6,Treysen Eaglestaff,North Dakota,Sum,88.2,7.5,9.1,124.9,33.0,60.2,61.7,0.0,12.8,15.8,13.6,0.0,3.0,12.2,10-18,0.556,23.3,13-31,0.419,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
