Player,Stats
Manny Harris,"[[[92.5, 12.9, 23.7, 148.9, 35.3, 72.2, 83.1, 16.2, 17.2, 52.4, 20.5, 3.2, 1.8, 155.6, 0.714, 3.6, 0.5, 6.416666666666667], '20081101-20081114']]"
Lee Cummard,"[[[90.0, 12.2, 40.4, 176.6, 24.8, 90.6, 93.1, 11.4, 19.4, 38.5, 6.0, 11.4, 3.1, 43.8, 0.833, 6.0, 0.75, 6.583333333333333], '20081101-20081114']]"
Travis Holmes,"[[[77.5, 11.8, 18.8, 172.0, 22.8, 80.8, 86.8, 6.5, 17.4, 17.5, 6.2, 0.0, 5.6, 69.2, 0.75, 1.4, 1.0, 6.333333333333333], '20081101-20081114']]"
Nate Tomlinson,"[[[82.5, 11.4, 11.4, 222.3, 7.1, 120.0, 120.0, 0.0, 12.8, 16.4, 0.0, 0.0, 0.0, 0.0, 0.0, 9.0, 0.8, 6.25], '20081101-20081114']]"
Connor Atchley,"[[[60.0, 10.0, 33.0, 226.0, 14.2, 130.0, 117.6, 18.5, 8.8, 8.9, 0.0, 16.1, 0.0, 40.0, 1.0, 7.6, 1.0, 6.833333333333333], '20081101-20081114']]"
Michael Dominguez,"[[[100.0, 9.8, 16.4, 193.1, 11.5, 94.4, 94.4, 6.3, 9.7, 0.0, 0.0, 0.0, 3.6, 0.0, 1.0, 13.9, 0.625, 6.25], '20081101-20081114']]"
A.J. Abrams,"[[[87.5, 9.5, 17.8, 170.5, 18.0, 79.2, 81.1, 0.0, 3.0, 6.0, 0.0, 0.0, 1.7, 16.7, 0.667, 15.5, 0.556, 5.916666666666667], '20081101-20081114']]"
Matt Mullery,"[[[92.5, 9.5, 10.0, 158.0, 20.1, 69.2, 73.8, 9.8, 10.5, 11.8, 0.0, 0.0, 0.0, 30.8, 0.692, 0.0, 0.0, 6.666666666666667], '20081101-20081114']]"
Byron Eaton,"[[[90.0, 9.2, 21.2, 140.5, 32.0, 63.3, 68.4, 3.6, 6.9, 24.7, 5.4, 0.0, 7.1, 66.7, 0.727, 6.9, 0.25, 5.916666666666667], '20081101-20081114']]"
Ahmad Nivins,"[[[95.0, 9.0, 18.7, 154.0, 22.2, 81.8, 81.8, 12.1, 23.9, 13.6, 7.2, 8.8, 1.6, 81.8, 0.818, 0.0, 0.0, 6.75], '20081101-20081114']]"
Bryan Mullins,"[[[85.0, 8.9, 18.9, 159.0, 21.0, 70.0, 73.1, 0.0, 0.0, 66.7, 7.9, 0.0, 6.6, 20.0, 0.667, 6.6, 0.5, 6.083333333333333], '20081101-20081114']]"
James Harden,"[[[75.0, 8.7, 18.1, 137.4, 43.8, 54.5, 64.5, 6.3, 7.6, 74.1, 9.2, 0.0, 6.0, 145.5, 0.857, 8.0, 0.0, 6.416666666666667], '20081101-20081114']]"
Andy Ogide,"[[[72.5, 8.7, 18.5, 157.9, 28.1, 75.0, 78.4, 23.8, 28.2, 14.0, 7.3, 6.0, 0.0, 125.0, 0.75, 0.0, 0.0, 6.75], '20081101-20081114']]"
Ricky Harris,"[[[82.5, 8.5, 9.9, 145.4, 25.7, 64.3, 71.2, 4.0, 13.9, 16.7, 13.2, 0.0, 0.0, 42.9, 0.6, 15.3, 0.444, 6.166666666666667], '20081101-20081114']]"
Talor Battle,"[[[92.5, 8.5, 16.8, 144.1, 22.7, 65.4, 70.5, 0.0, 16.9, 14.0, 8.0, 0.0, 5.3, 30.8, 0.571, 10.8, 0.5, 6.0], '20081101-20081114']]"
Paul Graham III,"[[[95.0, 8.1, 8.7, 163.0, 19.0, 77.3, 79.5, 3.6, 15.9, 22.5, 9.5, 0.0, 0.0, 18.2, 0.2, 10.8, 0.833, 6.333333333333333], '20081101-20081114']]"
David Huertas,"[[[85.0, 7.9, 15.8, 145.3, 22.7, 86.4, 89.7, 8.2, 8.4, 0.0, 22.2, 0.0, 0.0, 45.5, 0.833, 8.4, 0.6, 6.416666666666667], '20081101-20081114']]"
