RK,PLAYER,,,TEAM,CONF,MIN%,PRPG!,BPM,ORTG,USG,EFG,TS,OR,DR,AST,TO,BLK,STL,FTR,2P,,3P/100,3P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Jr,5-10,Dominique Daniels Jr.,Cal Baptist,WAC,21.9,11.9,18.7,170.2,33.0,72.2,79.1,3.6,3.8,58.7,0.0,0.0,3.4,55.6,7-11,0.636,12.0,4-7,0.571,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Sr,6-10,Derek Fountain,LSU,SEC,12.3,9.4,11.4,224.2,6.9,112.5,112.5,9.0,14.4,0.0,0.0,0.0,0.0,0.0,3-3,1.000,2.4,1-1,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Sr,6-5,Max Shulga,VCU,A10,81.1,8.4,15.5,164.0,18.9,76.7,82.3,4.8,14.9,22.9,10.4,0.0,2.0,66.7,5-10,0.500,9.8,12-20,0.600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,So,6-3,Kenyon Goodin,Bellarmine,ASun,8.0,7.8,25.6,286.1,10.0,150.0,150.0,0.0,29.3,27.7,0.0,0.0,0.0,0.0,0-0,0.000,14.9,4-4,1.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Jr,6-9,Trey Kaufman-Renn,Purdue,B10,85.6,7.8,7.2,121.7,31.1,65.5,67.3,5.8,10.5,14.1,13.6,0.9,1.9,50.9,36-55,0.655,0.0,0-0,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Sr,6-1,Mark Sears,Alabama,SEC,84.0,7.7,10.3,124.4,30.8,54.1,61.0,0.6,6.5,27.6,13.0,0.0,1.5,46.5,18-35,0.514,15.7,19-51,0.373,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,So,6-8,Collin Murray-Boyles,South Carolina,SEC,73.4,7.4,16.7,132.8,30.2,64.5,69.5,9.1,22.7,19.6,10.4,5.5,2.8,62.9,40-58,0.690,1.6,0-4,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Fr,6-6,Tre Johnson,Texas,SEC,91.6,7.4,9.9,117.3,32.8,54.9,60.0,3.8,8.5,21.0,12.7,0.0,1.5,29.3,27-53,0.509,11.0,12-29,0.414,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Jr,6-4,Fletcher Loyer,Purdue,B10,78.5,7.2,10.3,142.1,18.7,69.6,74.8,3.8,12.7,15.7,10.9,0.0,1.0,60.7,6-14,0.429,7.2,9-14,0.643,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,So,6-3,Anthony Robinson II,Missouri,SEC,62.7,7.2,18.9,159.8,19.5,77.3,75.5,6.0,8.2,32.9,9.0,0.9,7.0,51.5,15-23,0.652,4.4,7-10,0.700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Sr,6-5,John Tonje,Wisconsin,B10,81.5,7.2,11.5,127.9,29.4,61.7,67.3,2.0,16.9,8.2,12.0,0.8,3.1,45.0,22-30,0.733,13.3,10-30,0.333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Jr,6-1,Ja'Kobi Gillespie,Maryland,B10,88.2,7.1,14.1,134.5,22.5,72.7,76.1,0.0,8.2,29.5,17.5,0.0,3.5,40.9,14-18,0.778,10.2,12-26,0.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Sr,6-9,Kobe Sanders,Nevada,MWC,80.4,7.0,12.6,124.7,33.4,61.6,65.4,1.6,11.9,31.2,9.3,0.0,2.0,50.7,29-51,0.569,7.0,9-18,0.500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,So,6-0,Jaylen Curry,Massachusetts,A10,17.8,6.9,7.6,133.3,36.7,65.6,59.9,0.0,16.9,98.1,5.8,0.0,2.1,31.3,3-8,0.375,16.9,5-8,0.625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Sr,6-3,Caleb Grill,Missouri,SEC,75.0,6.9,11.4,136.6,24.1,56.5,63.3,2.5,18.1,7.6,7.7,0.0,5.5,37.7,18-22,0.818,17.3,14-47,0.298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Jr,6-5,Richie Saunders,BYU,B12,76.1,6.9,12.7,133.2,24.1,69.5,71.0,6.6,13.1,10.6,12.6,1.5,2.7,23.4,22-33,0.667,11.7,15-31,0.484,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Fr,6-9,Cooper Flagg,Duke,ACC,64.1,6.9,18.1,152.1,25.9,58.8,64.1,5.0,26.1,28.3,3.5,2.7,3.2,31.6,26-45,0.578,5.5,5-12,0.417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,Fr,6-11,Asa Newell,Georgia,SEC,77.6,6.9,12.1,136.0,22.6,65.1,66.0,12.6,15.2,9.9,8.3,5.3,1.4,41.9,19-28,0.679,7.1,6-15,0.400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Sr,6-8,Ian Schieffelin,Clemson,ACC,78.3,6.9,15.5,147.4,20.1,78.9,81.6,11.8,25.4,13.0,15.0,0.9,2.5,23.7,21-29,0.724,4.5,6-9,0.667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,Fr,6-9,Morez Johnson Jr.,Illinois,B10,15.7,6.9,19.2,139.2,23.9,75.0,75.1,13.2,9.0,0.0,9.6,6.9,4.6,87.5,6-8,0.750,0.0,0-0,0.000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Jr,6-2,Bruce Thornton,Ohio St.,B10,93.9,6.9,8.4,126.4,21.9,49.1,55.4,0.0,9.8,28.9,3.6,0.0,2.4,34.5,18-36,0.500,7.6,6-19,0.316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
