Player,Stats
Drew Pember,"[[[10.4, 15.7, 128.9, 42.3, 66.7, 73.6, 3.8, 21.8, 20.7, 21.3, 5.3, 3.0, 61.9, 0.615, 12.0, 0.5, 6.833333333333333], '20221101-20221114'], [[4.1, 7.8, 111.8, 29.0, 56.2, 62.5, 5.2, 23.5, 11.8, 18.3, 9.5, 1.3, 61.5, 0.465, 7.3, 0.5, 6.833333333333333], '20221114-20221201'], [[3.2, 4.8, 111.3, 27.5, 44.8, 59.1, 8.3, 35.8, 13.2, 19.4, 8.2, 1.8, 96.6, 0.526, 5.9, 0.2, 6.833333333333333], '20221201-20221214'], [[0.8, 0.7, 89.5, 25.1, 43.9, 50.4, 7.7, 22.3, 12.7, 24.5, 8.7, 1.3, 39.0, 0.429, 5.7, 0.308, 6.833333333333333], '20221214-20230101'], [[4.2, 9.7, 103.5, 35.3, 41.0, 53.4, 5.7, 28.9, 23.8, 12.3, 7.7, 1.2, 83.6, 0.406, 11.5, 0.276, 6.833333333333333], '20230101-20230114'], [[6.3, 11.6, 124.0, 33.5, 54.2, 63.9, 10.9, 24.3, 20.0, 14.2, 6.0, 2.0, 74.6, 0.44, 7.2, 0.524, 6.833333333333333], '20230114-20230201'], [[4.0, 4.2, 114.9, 29.7, 54.9, 62.1, 5.9, 24.6, 13.9, 17.1, 4.4, 1.7, 68.6, 0.543, 6.8, 0.375, 6.833333333333333], '20230201-20230214'], [[4.7, 5.7, 113.3, 30.0, 57.4, 63.8, 3.3, 20.3, 17.6, 19.6, 5.3, 0.8, 80.9, 0.563, 6.3, 0.4, 6.833333333333333], '20230214-20230301'], [[6.3, 10.8, 117.1, 37.7, 49.0, 62.4, 5.1, 27.8, 12.1, 14.1, 7.3, 0.0, 95.9, 0.536, 11.2, 0.286, 6.833333333333333], '20230301-20230314'], [[1.9, -1.8, 83.2, 24.0, 56.3, 65.7, 0.0, 7.0, 14.7, 41.6, 4.6, 1.7, 50.0, 0.6, 5.0, 0.333, 6.833333333333333], '20230314-20230401']]"
Kenny Dye,"[[[14.3, 146.5, 26.5, 58.8, 61.9, 5.5, 11.7, 44.6, 10.8, 0.0, 2.9, 29.4, 0.4, 10.0, 0.571, 6.0], '20221101-20221114'], [[0.4, 110.9, 25.9, 60.2, 61.2, 2.1, 8.6, 21.0, 21.6, 0.0, 1.3, 57.6, 0.629, 7.9, 0.375, 6.0], '20221114-20221201'], [[-1.0, 112.0, 28.1, 56.0, 60.0, 1.4, 12.6, 22.2, 17.4, 0.0, 0.8, 84.0, 0.533, 8.2, 0.4, 6.0], '20221201-20221214'], [[-1.5, 107.9, 26.1, 44.7, 50.8, 3.4, 10.9, 32.6, 15.1, 0.0, 1.5, 53.0, 0.442, 7.0, 0.304, 6.0], '20221214-20230101'], [[-3.2, 107.2, 27.1, 44.9, 49.7, 3.4, 7.7, 27.5, 16.9, 0.0, 2.1, 53.1, 0.433, 7.9, 0.316, 6.0], '20230101-20230114'], [[-0.4, 124.5, 24.0, 56.6, 60.1, 3.9, 9.2, 30.5, 14.8, 0.0, 1.0, 27.9, 0.439, 6.5, 0.55, 6.0], '20230114-20230201'], [[3.0, 103.1, 28.9, 44.3, 52.8, 6.6, 11.1, 23.5, 15.7, 1.4, 3.3, 52.8, 0.452, 4.5, 0.273, 6.0], '20230201-20230214'], [[-2.6, 94.0, 28.6, 47.6, 51.7, 1.0, 11.9, 26.8, 22.0, 0.0, 1.3, 40.2, 0.469, 4.7, 0.333, 6.0], '20230214-20230301']]"
Micah Thomas,"[[[9.6, 14.0, 182.8, 14.9, 95.5, 95.5, 0.0, 4.4, 18.4, 5.2, 0.0, 1.6, 0.0, 0.692, 7.0, 0.889, 6.0], '20221101-20221114'], [[2.0, 0.2, 108.2, 19.5, 46.0, 53.8, 0.0, 7.0, 24.4, 10.3, 1.2, 3.3, 40.0, 0.556, 4.7, 0.143, 6.0], '20221114-20221201'], [[0.4, -2.3, 80.3, 24.9, 26.5, 30.6, 3.0, 3.6, 29.9, 5.7, 4.2, 2.9, 11.8, 0.273, 8.5, 0.167, 6.0], '20221201-20221214'], [[-1.0, -5.8, 73.3, 21.9, 32.8, 35.1, 1.2, 9.6, 28.6, 28.1, 0.0, 1.9, 6.9, 0.167, 10.5, 0.294, 6.0], '20221214-20230101'], [[-0.8, -11.9, 81.1, 19.8, 26.9, 34.7, 2.5, 3.2, 12.1, 15.7, 0.0, 0.0, 23.1, 0.267, 8.5, 0.182, 6.0], '20230101-20230114'], [[1.9, 5.5, 128.1, 19.0, 53.8, 57.3, 0.0, 19.7, 25.4, 8.2, 0.0, 4.7, 15.4, 0.25, 14.1, 0.444, 6.0], '20230301-20230314']]"
Nana Antwi-Boasiako,"[[[70.0, 9.4, 18.1, 164.0, 26.6, 80.0, 90.1, 21.6, 10.6, 11.6, 15.7, 9.9, 2.1, 280.0, 0.5, 6.3, 0.667, 6.75], '20221101-20221114'], [[75.8, -0.3, -2.0, 91.1, 15.1, 38.5, 50.8, 9.6, 9.1, 8.7, 30.0, 5.1, 1.2, 92.3, 0.435, 0.9, 0.0, 6.75], '20221114-20221201'], [[84.7, 0.7, 0.6, 105.1, 13.5, 60.0, 63.6, 12.6, 10.0, 10.6, 33.8, 2.8, 2.3, 220.0, 0.75, 0.8, 0.0, 6.75], '20221201-20221214'], [[73.2, 0.9, -0.2, 108.6, 12.8, 78.9, 81.4, 5.1, 14.7, 5.2, 36.7, 2.8, 0.8, 68.4, 0.789, 0.0, 0.0, 6.75], '20221214-20230101'], [[54.4, -0.0, -2.1, 93.1, 16.0, 40.5, 44.9, 9.3, 12.9, 2.0, 16.7, 6.3, 2.7, 23.8, 0.368, 1.3, 0.5, 6.75], '20230101-20230114'], [[63.0, 0.7, -1.0, 101.2, 14.6, 50.0, 64.0, 5.8, 3.6, 4.2, 29.5, 3.5, 1.7, 100.0, 0.563, 0.9, 0.0, 6.75], '20230114-20230201'], [[63.3, 3.1, -0.4, 143.9, 11.2, 63.6, 76.2, 3.4, 12.3, 4.5, 13.0, 1.5, 0.0, 90.9, 0.7, 0.7, 0.0, 6.75], '20230201-20230214'], [[56.7, -0.4, 0.3, 87.5, 13.8, 46.4, 49.7, 8.3, 19.6, 6.2, 28.4, 7.5, 1.5, 107.1, 0.417, 1.0, 0.5, 6.75], '20230214-20230301']]"
Jaden House,"[[[9.3, 20.2, 164.8, 41.1, 73.3, 79.7, 0.0, 11.1, 46.5, 5.7, 0.0, 0.0, 80.0, 0.727, 9.3, 0.5, 6.25], '20221101-20221114'], [[1.5, -3.7, 93.8, 30.1, 43.2, 48.7, 3.3, 12.4, 12.8, 19.1, 0.0, 0.5, 42.4, 0.477, 6.6, 0.2, 6.25], '20221114-20221201'], [[3.3, -3.1, 105.1, 34.1, 47.8, 54.0, 4.8, 14.8, 14.1, 13.1, 0.0, 0.6, 71.1, 0.472, 5.0, 0.333, 6.25], '20221201-20221214'], [[1.6, -1.0, 87.2, 34.9, 42.7, 46.3, 1.6, 11.6, 21.1, 17.3, 0.8, 1.9, 50.0, 0.512, 8.8, 0.158, 6.25], '20221214-20230101'], [[2.0, -2.8, 96.9, 33.1, 45.5, 49.9, 2.9, 6.6, 13.8, 12.9, 1.0, 1.0, 64.3, 0.477, 5.7, 0.25, 6.25], '20230101-20230114'], [[0.1, -8.5, 83.3, 28.8, 41.7, 44.7, 2.6, 10.3, 20.8, 23.5, 1.3, 1.1, 55.6, 0.474, 6.0, 0.188, 6.25], '20230114-20230201'], [[0.4, -7.7, 84.1, 28.5, 42.9, 48.4, 3.7, 12.6, 24.3, 31.3, 0.0, 0.7, 53.6, 0.429, 9.6, 0.286, 6.25], '20230201-20230214'], [[2.2, -1.5, 101.6, 30.3, 48.7, 49.4, 4.5, 7.2, 13.8, 11.8, 0.0, 2.8, 24.7, 0.429, 11.1, 0.393, 6.25], '20230214-20230301'], [[3.5, 7.0, 118.4, 34.8, 52.6, 56.1, 0.0, 3.7, 0.0, 0.0, 0.0, 2.2, 26.3, 0.538, 13.4, 0.333, 6.25], '20230301-20230314']]"
Damian Dunn,"[[[12.8, 146.7, 24.5, 63.0, 76.2, 1.5, 5.0, 11.0, 9.7, 2.7, 1.6, 95.7, 0.667, 6.3, 0.375, 6.416666666666667], '20221101-20221114'], [[-3.7, 92.9, 26.9, 49.2, 55.5, 3.4, 10.6, 15.8, 26.6, 0.0, 0.0, 43.5, 0.447, 7.5, 0.375, 6.416666666666667], '20221114-20221201'], [[-2.7, 90.3, 20.7, 46.3, 49.6, 2.2, 10.6, 22.5, 28.9, 1.0, 1.6, 33.3, 0.5, 6.0, 0.273, 6.416666666666667], '20221201-20221214'], [[0.9, 94.4, 30.9, 39.6, 52.2, 3.4, 11.9, 26.2, 23.5, 1.6, 0.9, 58.3, 0.444, 5.4, 0.167, 6.416666666666667], '20221214-20230101'], [[4.8, 111.1, 30.0, 52.8, 58.9, 4.0, 14.0, 25.5, 19.6, 1.1, 1.3, 52.8, 0.542, 7.8, 0.333, 6.416666666666667], '20230101-20230114'], [[6.2, 111.5, 25.3, 45.0, 58.8, 2.1, 12.9, 22.1, 16.6, 0.0, 1.1, 90.0, 0.346, 8.4, 0.375, 6.416666666666667], '20230114-20230201'], [[-4.1, 83.9, 24.2, 40.3, 41.7, 1.2, 7.6, 33.6, 29.8, 1.0, 2.2, 25.8, 0.313, 8.3, 0.333, 6.416666666666667], '20230201-20230214'], [[5.3, 117.2, 30.6, 56.4, 62.7, 0.0, 8.0, 17.4, 10.9, 0.0, 1.7, 46.8, 0.385, 11.7, 0.524, 6.416666666666667], '20230214-20230301'], [[-0.2, 89.5, 26.1, 36.9, 42.3, 3.9, 15.4, 14.9, 14.6, 0.0, 2.1, 50.0, 0.478, 10.3, 0.158, 6.416666666666667], '20230301-20230314']]"
Xavier Castaneda,"[[[21.1, 135.0, 28.7, 69.6, 72.6, 1.4, 7.7, 47.9, 11.3, 0.0, 4.0, 53.6, 0.5, 17.8, 0.5, 6.083333333333333], '20221101-20221114'], [[2.6, 101.2, 26.2, 36.1, 46.1, 1.3, 14.5, 17.2, 12.6, 0.0, 1.1, 70.5, 0.318, 14.3, 0.256, 6.083333333333333], '20221114-20221201'], [[9.8, 135.8, 25.5, 66.7, 75.1, 1.9, 15.0, 15.1, 14.2, 0.0, 2.7, 116.7, 0.75, 9.0, 0.4, 6.083333333333333], '20221201-20221214'], [[15.1, 125.2, 31.2, 61.0, 68.4, 3.5, 15.1, 21.1, 17.5, 0.0, 2.4, 56.1, 0.368, 13.3, 0.545, 6.083333333333333], '20221214-20230101'], [[9.8, 125.8, 30.8, 62.0, 68.0, 4.3, 11.7, 12.6, 13.7, 0.7, 2.1, 62.0, 0.636, 17.2, 0.408, 6.083333333333333], '20230114-20230201'], [[7.6, 130.7, 27.0, 58.2, 64.9, 2.4, 8.5, 8.8, 12.4, 0.0, 1.7, 47.5, 0.5, 17.2, 0.415, 6.083333333333333], '20230201-20230214'], [[6.7, 124.4, 31.4, 54.2, 62.8, 5.1, 10.0, 20.7, 14.2, 0.7, 0.7, 49.3, 0.476, 18.5, 0.38, 6.083333333333333], '20230214-20230301'], [[0.7, 110.0, 30.5, 44.6, 56.2, 1.3, 12.6, 20.3, 14.9, 0.0, 1.0, 54.3, 0.5, 16.2, 0.281, 6.083333333333333], '20230301-20230314']]"
Kyree Brown,"[[[8.8, 14.8, 158.6, 33.3, 90.0, 90.6, 0.0, 4.8, 29.4, 14.4, 0.0, 2.4, 80.0, 0.857, 7.2, 0.667, 6.0], '20221101-20221114'], [[-2.4, -10.3, 64.5, 25.8, 22.0, 29.9, 0.0, 9.3, 24.3, 18.2, 0.9, 1.4, 22.0, 0.172, 9.9, 0.19, 6.0], '20221114-20221201'], [[-0.0, -7.8, 88.5, 22.2, 47.2, 47.2, 1.7, 5.7, 38.5, 31.2, 0.0, 1.7, 0.0, 0.5, 8.6, 0.3, 6.0], '20221214-20230101'], [[4.8, 3.2, 136.4, 20.4, 62.5, 69.8, 0.0, 10.6, 28.2, 10.4, 0.0, 1.1, 75.0, 0.583, 8.5, 0.438, 6.0], '20230101-20230114'], [[3.0, -1.8, 113.5, 23.5, 43.0, 50.2, 1.2, 9.3, 32.8, 8.6, 0.0, 1.0, 50.9, 0.526, 6.4, 0.158, 6.0], '20230114-20230201'], [[-1.6, -5.1, 74.7, 23.9, 33.3, 35.0, 2.5, 10.1, 31.1, 19.8, 0.8, 2.1, 20.5, 0.292, 7.9, 0.267, 6.0], '20230201-20230214'], [[-0.4, -7.2, 84.4, 20.6, 44.1, 46.3, 0.9, 9.5, 22.2, 24.3, 0.0, 2.7, 23.5, 0.45, 6.4, 0.286, 6.0], '20230214-20230301'], [[3.9, 2.9, 120.1, 23.9, 46.9, 62.2, 0.0, 4.7, 38.3, 17.5, 2.0, 1.0, 75.0, 0.3, 6.3, 0.5, 6.0], '20230301-20230314']]"
A.J. Plitzuweit,"[[[8.5, 10.7, 149.9, 23.5, 87.5, 86.9, 1.9, 9.2, 20.6, 16.0, 0.0, 1.9, 100.0, 0.625, 7.5, 0.75, 6.166666666666667], '20221101-20221114'], [[1.6, -4.3, 100.7, 19.9, 48.6, 52.7, 0.0, 8.0, 20.2, 18.0, 0.0, 0.9, 32.4, 0.286, 7.1, 0.5, 6.166666666666667], '20221201-20221214'], [[4.3, 2.3, 130.4, 23.7, 77.4, 78.7, 3.5, 7.7, 31.4, 25.7, 0.0, 1.0, 48.4, 0.667, 11.2, 0.545, 6.166666666666667], '20221214-20230101'], [[-0.9, -6.1, 79.9, 20.8, 35.4, 43.9, 1.3, 8.3, 7.5, 20.4, 1.4, 2.8, 29.2, 0.267, 6.4, 0.333, 6.166666666666667], '20230101-20230114'], [[2.2, -2.3, 111.7, 20.5, 52.0, 59.0, 0.7, 6.1, 16.9, 15.0, 0.8, 0.7, 32.0, 0.381, 9.9, 0.414, 6.166666666666667], '20230114-20230201'], [[1.8, -1.6, 105.8, 24.5, 38.5, 50.5, 0.0, 8.7, 23.4, 9.6, 0.0, 1.6, 46.2, 0.538, 10.2, 0.154, 6.166666666666667], '20230201-20230214'], [[2.7, 2.0, 120.4, 22.4, 67.2, 67.8, 1.2, 11.7, 28.2, 19.3, 1.2, 1.8, 12.5, 0.667, 12.3, 0.45, 6.166666666666667], '20230214-20230301'], [[4.8, 3.7, 127.6, 24.4, 45.8, 57.2, 0.0, 13.2, 13.3, 0.0, 0.0, 0.0, 50.0, 0.667, 11.8, 0.167, 6.166666666666667], '20230301-20230314']]"
Tajion Jones,"[[[8.4, 7.8, 153.2, 13.3, 75.0, 77.2, 3.1, 11.3, 0.0, 9.4, 4.4, 1.2, 16.7, 0.75, 10.0, 0.5, 6.416666666666667], '20221101-20221114'], [[2.2, 2.1, 109.7, 18.8, 60.3, 59.7, 3.8, 13.7, 7.4, 15.7, 1.2, 1.3, 5.2, 0.5, 11.8, 0.444, 6.416666666666667], '20221114-20221201'], [[4.9, 3.7, 139.9, 16.0, 78.1, 76.7, 7.3, 11.1, 5.4, 13.0, 0.0, 0.5, 12.5, 0.583, 10.4, 0.6, 6.416666666666667], '20221201-20221214'], [[3.6, 5.0, 128.9, 13.9, 63.6, 64.2, 1.9, 10.5, 11.1, 6.2, 1.4, 0.9, 18.2, 0.692, 8.6, 0.4, 6.416666666666667], '20221214-20230101'], [[1.2, 4.4, 104.8, 15.9, 62.1, 58.6, 2.5, 21.5, 10.8, 12.4, 4.2, 0.4, 45.5, 0.538, 7.9, 0.45, 6.416666666666667], '20230101-20230114'], [[3.7, 5.0, 124.6, 17.7, 64.0, 63.8, 2.8, 12.4, 8.8, 9.1, 1.3, 1.9, 21.1, 0.609, 11.0, 0.441, 6.416666666666667], '20230114-20230201'], [[2.9, -0.8, 120.9, 17.8, 53.8, 61.4, 1.9, 13.5, 6.5, 11.3, 0.0, 0.8, 42.5, 0.611, 8.9, 0.318, 6.416666666666667], '20230201-20230214'], [[5.5, 9.7, 141.9, 16.8, 72.1, 74.2, 1.1, 10.9, 6.1, 7.8, 0.7, 4.0, 14.0, 0.588, 11.3, 0.538, 6.416666666666667], '20230214-20230301'], [[4.7, 5.9, 131.1, 18.9, 64.9, 65.7, 8.9, 10.1, 4.3, 8.1, 0.0, 2.6, 18.9, 0.6, 11.2, 0.455, 6.416666666666667], '20230301-20230314'], [[4.4, 1.0, 108.0, 18.5, 45.8, 45.8, 6.9, 3.8, 17.9, 0.0, 0.0, 0.0, 0.0, 0.667, 10.8, 0.167, 6.416666666666667], '20230314-20230401']]"
